"term","edf","Ref.df","F","p.value"
"s(age)",1.00057338829668,1.00114447170999,4.53273591467064,0.0336052819355184
"s(log_income)",1.91698003260958,2.25155067059757,1.31518591412189,0.230228260651233
"s(log_area)",2.50759836275632,3.05861454661005,1.30895228830389,0.266881418838634
