"term","estimate","se","low","high","p","n","clusters","county"
"application",-0.381074802968816,0.145830840408551,-0.785966126008019,0.0238165200703871,0.0592249896104491,160,5,"Baoxing"
"application",-0.302462105617367,0.0914510015567174,-0.493871251675309,-0.111052959559426,0.00370336120839454,464,20,"Qingchuan"
