"item","MR3","MR1","MR2","communality"
"tol1",0.0358041057783225,-0.035139350196701,0.805093031719421,0.606326315431759
"tol2",-0.205040968426521,0.150373401766683,0.508237673295806,0.503539393736693
"tol3",-0.150248207710962,-0.108406861208535,-0.0206878018092415,0.0168464149707945
"tol4",0.000180334772936608,0.9993193676026,-0.00188179458854293,0.997414690800521
"ic1",0.996534891835684,-0.00356195384407468,-0.000911280631363864,0.997511533979076
"word1",-0.0560690182574425,-0.111896894911323,-0.221359601045818,0.0595568020549516
"word2",-0.000825980640051807,-0.211699147062913,-0.106745959535639,0.0685906118235955
"word3",0.282467778237094,0.206655924213788,-0.0386298507966622,0.0736205121862434
