"outcome","n","median","low","high","prob_positive","diagnostics_pass"
"tol1",624,-0.625915417760975,-0.978190948484404,-0.254783657469926,0.00025,TRUE
"tol2",624,-0.462066102778309,-0.818216317961119,-0.106894282365002,0.005,TRUE
"tol3",624,0.144156506481865,-0.177240921033281,0.474169550133445,0.808,TRUE
"tol4",624,-0.283547740961159,-0.590045881442486,0.036512827466122,0.044,TRUE
