"model","n","admissible","R2_Tol","SRMR"
"baseline",622,TRUE,0.211581571846277,0.0749295044818594
"mediation",622,TRUE,0.213478150829492,0.090961267542986
"extended",622,TRUE,0.233522527496035,0.0743030966311556
"four_items",622,TRUE,0.217659841376405,0.0908943056088911
"ic1_only",622,TRUE,0.18748520790046,0.0923308575942925
