"term","Estimate","Std..Error","z.value","Pr...z.."
"1|2.(Intercept)",-4.49356899882783,0.711706896774494,-6.31379156109488,2.72280613734097e-10
"2|3.(Intercept)",-0.876078451323444,0.654248504206499,-1.3390606867126,0.180550917399206
"3|4.(Intercept)",-0.196942376428709,0.655005963554599,-0.300672646337352,0.763664129190966
"4|5.(Intercept)",3.46865381556244,0.815602085629984,4.25287511726162,2.11043282059977e-05
"1|2.application",0.49209931710211,0.419914177058991,1.17190450807994,0.241235396938163
"2|3.application",-0.141981074857451,0.17675213627228,-0.80327784349228,0.421814161260457
"3|4.application",0.0322565559874348,0.189477754769391,0.170239277041748,0.864821963913745
"4|5.application",-1.12397648627048,0.579433768752692,-1.93978422881703,0.0524059181146149
"application",,,,
"countyQingchuan",-0.929204375912703,0.236380166231787,-3.93097437371947,8.46022902771054e-05
"np",0.358118979880981,0.261982946891399,1.36695530808512,0.171639314332538
"age",0.00139442009823178,0.00834299996082815,0.167136534193794,0.867262620175436
"gender",-0.0915053275335021,0.176014487319864,-0.519873840652747,0.603151509153895
"education2",-0.155594343901994,0.247973114040532,-0.627464572133256,0.530354752141831
"education3",-0.00748933149519853,0.263392241804499,-0.0284341385451947,0.977315896580063
"education4",-0.428755032786712,0.374207197732801,-1.14576906960742,0.251890716357794
"education5",-0.152003321756117,0.539860388317733,-0.281560427557534,0.778280587212662
"household_size",-0.061645365669351,0.0478130928658411,-1.28929885047014,0.197294210475174
