"item","MR1","communality"
"tol1",0.523912486986962,0.274484294020863
"tol2",0.76290687612802,0.582026901643414
"tol3",0.041011446660488,0.00168193875718605
"tol4",0.54069051916167,0.292346237511316
"ic1",-0.754981547173513,0.569997136572511
"word1",-0.217708865075259,0.0473971499323574
"word2",-0.247512321360965,0.0612623492254935
"word3",-0.136300200906066,0.0185777447670339
