"partition","model","n","converged","admissible","chisq.scaled","df.scaled","cfi.scaled","tli.scaled","rmsea.scaled","srmr"
"validation","two_factor_four",309,TRUE,TRUE,45.0225714351,19,0.911556006384002,0.869661483092213,0.0666842000917992,0.0642721291739103
"validation","two_factor_three",309,TRUE,TRUE,22.2968615840679,13,0.967008861930425,0.946706623118379,0.0481860301593156,0.0507995776059653
"validation","one_factor",309,TRUE,TRUE,45.3634400154017,20,0.913796223697701,0.879314713176782,0.0641672935454024,0.0656526074609448
"full","two_factor_four",625,TRUE,TRUE,62.7306928452069,19,0.931815882920852,0.899518143251782,0.0607329090249332,0.053868972294894
"full","two_factor_three",625,TRUE,TRUE,40.6685490982776,13,0.95706734240484,0.930647245423204,0.0584022019836002,0.0483118564378772
"full","one_factor",625,TRUE,TRUE,62.802223102653,20,0.933263536399722,0.90656895095961,0.0585633444461002,0.0542682018826479
