"construct","application","conflict_wb","conflict_all","prevention_used","prevention_eff0","ic1","word_mean","report_count","info_count","log_damage","log_loss","benefit","tol1","tol2","tol4"
"CE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conflict",0,0.837587187980604,0.809118535093914,0,0,0,0,0,0,0,0,0,0,0,0
"Use",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eff",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IC",0,0,0,0,0,0.892468102397742,0.593795667159308,0,0,0,0,0,0,0,0
"PS",0,0,0,0,0,0,0,0.997460366211131,-0.0389149951016745,0,0,0,0,0,0
"TC",0,0,0,0,0,0,0,0,0,0.962405099289535,0.845856479751202,0,0,0,0
"IB",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tol",0,0,0,0,0,0,0,0,0,0,0,0,0.779286822680912,0.835144645408525,0.586551369170023
