"term","edf","Ref.df","F","p.value"
"s(age)",1.00002643211089,1.00005283559185,3.29462872758073,0.0699978631113075
"s(log_income)",1.00071464520692,1.0014286113001,0.457357135995921,0.4995082702888
"s(log_area)",2.50797548942736,3.05907476863714,1.51678052796553,0.205456636655017
