"outcome","max_rhat","min_bulk_ess","min_tail_ess","divergences","diagnostics_pass"
"tol1",1.00523302706988,1249.54406058732,2062.81547104018,0,TRUE
"tol2",1.00288549045753,849.717656418449,1655.98600723333,0,TRUE
"tol3",1.00407938614313,932.722221230465,1765.34300047017,0,TRUE
"tol4",1.00356202703873,785.607778847683,1023.32512424568,0,TRUE
