"category","mean","low","high"
1,0.0909203243604543,0.0299305904206006,0.151340761893487
2,-0.0640743016443053,-0.108755476803627,-0.020342544976444
3,-0.0135471382471897,-0.0262208865337667,-0.00414315913652023
4,-0.0123406801486573,-0.0242742185324999,-0.00381558759178645
5,-0.000958204320302042,-0.00347423659683765,-4.75584224140458e-05
