"factors","RMSR","TLI","RMSEA","admissible","development_n","complete_n","parallel_suggested"
1,0.0448203952957047,0.810122674962205,0.0847999943600945,TRUE,316,238,4
2,0.0290008578382469,0.930227128996106,0.0512132980514669,FALSE,316,238,4
3,0.0194300419515626,1.00445925187211,0,TRUE,316,238,4
