"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","model","partition"
"Tolerance","=~","tol1",0.659833741255555,0.0531950656127442,12.4040403683133,0,0.555573328499332,0.764094154011779,0.659833741255555,0.659833741255555,"two_factor_four","validation"
"Tolerance","=~","tol2",0.784586319459892,0.0581801330244406,13.4854679539887,0,0.670555354116239,0.898617284803545,0.784586319459892,0.784586319459892,"two_factor_four","validation"
"Tolerance","=~","tol3",0.0947486345727462,0.0550921382632709,1.71982133131169,0.085464923887951,-0.0132299722545658,0.202727241400058,0.0947486345727462,0.0947486345727462,"two_factor_four","validation"
"Tolerance","=~","tol4",0.380555749890376,0.0607235113239849,6.26702477496657,3.68011621176834e-10,0.261539854680556,0.499571645100197,0.380555749890376,0.380555749890376,"two_factor_four","validation"
"Intangible","=~","ic1",-0.565044574307163,0.107785446288582,-5.2423086210946,1.58579836373463e-07,-0.776300167090361,-0.353788981523966,-0.565044574307163,-0.565044574307163,"two_factor_four","validation"
"Intangible","=~","word1",-0.281917802963023,0.0781637779544277,-3.60675763558142,0.000310047005222858,-0.435115992649287,-0.128719613276759,-0.281917802963023,-0.281917802963023,"two_factor_four","validation"
"Intangible","=~","word2",-0.122979554872562,0.0866889581731823,-1.41862997853638,0.156006921114205,-0.292886790749299,0.046927681004174,-0.122979554872562,-0.122979554872562,"two_factor_four","validation"
"Intangible","=~","word3",-0.302123636177485,0.0905243137363072,-3.33748607095278,0.000845399591670626,-0.479548030825851,-0.124699241529118,-0.302123636177485,-0.302123636177485,"two_factor_four","validation"
"tol1","|","t1",-1.24374824700315,0.0956037177936199,-13.009412977935,0,-1.43112809066678,-1.05636840333952,-1.24374824700315,-1.24374824700315,"two_factor_four","validation"
"tol1","|","t2",0.816455819702471,0.0807754710655784,10.1077196942575,0,0.65813880557968,0.974772833825262,0.816455819702471,0.816455819702471,"two_factor_four","validation"
"tol1","|","t3",1.54239619238884,0.112725493479162,13.6827628319406,0,1.32145828503018,1.7633340997475,1.54239619238884,1.54239619238884,"two_factor_four","validation"
"tol1","|","t4",2.72283222301674,0.330385512605194,8.24137899251802,2.22044604925031e-16,2.07528851729676,3.37037592873673,2.72283222301674,2.72283222301674,"two_factor_four","validation"
"tol2","|","t1",-0.503110291561242,0.0747978454073423,-6.72626716480066,1.74071868030978e-11,-0.649711374680828,-0.356509208441657,-0.503110291561242,-0.503110291561242,"two_factor_four","validation"
"tol2","|","t2",1.39900228539625,0.103630467309432,13.4999129282989,0,1.19589030176871,1.60211426902379,1.39900228539625,1.39900228539625,"two_factor_four","validation"
"tol2","|","t3",1.80421626184595,0.134746492963949,13.3897084974869,0,1.54011798859353,2.06831453509837,1.80421626184595,1.80421626184595,"two_factor_four","validation"
"tol2","|","t4",2.72283222301674,0.330385512605194,8.24137899251802,2.22044604925031e-16,2.07528851729676,3.37037592873673,2.72283222301674,2.72283222301674,"two_factor_four","validation"
"tol3","|","t1",-1.80421626184595,0.134746492963949,-13.3897084974869,0,-2.06831453509837,-1.54011798859353,-1.80421626184595,-1.80421626184595,"two_factor_four","validation"
