"term","Estimate","Std..Error","z.value","Pr...z.."
"1|2.(Intercept)",-0.789016971401572,,,
"2|3.(Intercept)",2.75875866045945,,,
"3|4.(Intercept)",3.53671995648169,,,
"4|5.(Intercept)",26.5741121802923,,,
"1|2.application",0.400401620506819,,,
"2|3.application",0.93054828506253,,,
"3|4.application",0.981317987053202,,,
"4|5.application",-20.6610223131815,,,
"application",,,,
"countyQingchuan",0.531262998608641,,,
"np",0.124702471140428,,,
"age",0.000457802586212649,,,
"gender",-0.371160763358798,,,
"education2",0.183338705861197,,,
"education3",-0.0901699071960625,,,
"education4",0.282319895084706,,,
"education5",0.512586594760952,,,
"household_size",0.0196256831126724,,,
