"construct","application","log_damage","log_loss","benefit","ic1","word_mean","report_count","info_count","tol1","tol2","tol3","tol4"
"CE",1,0,0,0,0,0,0,0,0,0,0,0
"TC",0,0.385946895551616,0.699725439986457,0,0,0,0,0,0,0,0,0
"IB",0,0,0,1,0,0,0,0,0,0,0,0
"IC",0,0,0,0,0.82597729973311,0.442413553253657,0,0,0,0,0,0
"PS",0,0,0,0,0,0,1.00559726532754,0.078870757468035,0,0,0,0
"Tol",0,0,0,0,0,0,0,0,0.473888985148296,0.474202403700885,0.0972546295975802,0.389877640481851
