"variable","tol1","tol2","tol3","tol4","ic1","word1","word2","word3","benefit","report_count","info_count","conflict_wb","conflict_all"
"tol1",1,0.512561165089513,0.074434401363732,0.136469576422126,-0.24112448884456,-0.157013039405905,-0.0527049457117821,-0.119459613703186,0.259605515160879,-0.0950311227304909,-0.00684207610212204,-0.206804132787007,-0.264716473658501
"tol2",0.512561165089513,1,-0.00959195510958573,0.285917980617779,-0.294949143550043,-0.134958767506523,-0.0677137300500135,-0.119453011634824,0.182369304398897,-0.000689150617494395,-0.0425877440856487,-0.132578257186307,-0.120918110430978
"tol3",0.074434401363732,-0.00959195510958573,1,-0.045861358563844,-0.110082716271183,-0.0681820718517449,-0.0480133078482092,-0.061751172490596,-0.0104695963747321,0.133849720304686,-0.171870393684068,-0.117998034105396,0.11409637969518
"tol4",0.136469576422126,0.285917980617779,-0.045861358563844,1,-0.24329742911882,-0.106750410241139,-0.143557099511629,-0.0576611106032762,0.123974733937658,0.183919573704345,-0.0730167563605131,0.0221879769836004,-0.0848144219128576
"ic1",-0.24112448884456,-0.294949143550043,-0.110082716271183,-0.24329742911882,1,0.108627825682528,0.0519894175668996,0.185237316558871,-0.142689345701329,-0.0323515332806997,0.153974675558918,0.230829593676253,0.176042102998477
"word1",-0.157013039405905,-0.134958767506523,-0.0681820718517449,-0.106750410241139,0.108627825682528,1,0.0857004632648341,0.000408557520719956,-0.144454975493288,-0.0904809773713849,0.000125794718250588,0.0893988990723034,0.0381386229815481
"word2",-0.0527049457117821,-0.0677137300500135,-0.0480133078482092,-0.143557099511629,0.0519894175668996,0.0857004632648341,1,0.0383896309131095,-0.0267688322315652,-0.0268243008152481,0.0378980020408409,0.0697943500165147,0.105806015805344
"word3",-0.119459613703186,-0.119453011634824,-0.061751172490596,-0.0576611106032762,0.185237316558871,0.000408557520719956,0.0383896309131095,1,-0.0697044231998273,0.0223055073889364,0.0326187073344569,0.142774861237646,0.168663578203608
"benefit",0.259605515160879,0.182369304398897,-0.0104695963747321,0.123974733937658,-0.142689345701329,-0.144454975493288,-0.0267688322315652,-0.0697044231998273,1,-0.134384917032925,0.136415278630061,-0.171594794749597,-0.261014988800671
"report_count",-0.0950311227304909,-0.000689150617494395,0.133849720304686,0.183919573704345,-0.0323515332806997,-0.0904809773713849,-0.0268243008152481,0.0223055073889364,-0.134384917032925,1,-0.110266681968236,0.0860272021001183,0.186990934003959
"info_count",-0.00684207610212204,-0.0425877440856487,-0.171870393684068,-0.0730167563605131,0.153974675558918,0.000125794718250588,0.0378980020408409,0.0326187073344569,0.136415278630061,-0.110266681968236,1,0.0522713014642413,-0.101452996898548
"conflict_wb",-0.206804132787007,-0.132578257186307,-0.117998034105396,0.0221879769836004,0.230829593676253,0.0893988990723034,0.0697943500165147,0.142774861237646,-0.171594794749597,0.0860272021001183,0.0522713014642413,1,0.357815695943804
"conflict_all",-0.264716473658501,-0.120918110430978,0.11409637969518,-0.0848144219128576,0.176042102998477,0.0381386229815481,0.105806015805344,0.168663578203608,-0.261014988800671,0.186990934003959,-0.101452996898548,0.357815695943804,1
