"term","estimate","se","low","high","p","n","clusters","outcome","adjustment","model","p_holm","odds_ratio"
"application",-0.98217234603998,0.207000751055933,-1.40940089840024,-0.554943793679719,7.94626338334194e-05,624,25,"tol1","unadjusted","cumulative_logit",0.000317850535333678,0.374496678194071
"application",-0.633898557977934,0.181688073095504,-1.00888431070471,-0.258912805251155,0.00189345258311056,624,25,"tol1","background","cumulative_logit",0.00757381033244225,0.530519503103556
"application",-0.667679961053495,0.186243914711595,-1.05206850873873,-0.283291413368261,0.00149232534015594,624,25,"tol1","resources","cumulative_logit",0.00596930136062374,0.512897139838265
"application",-0.468636515166197,0.208552769172469,-0.899068275484797,-0.0382047548475969,0.0340992507458279,622,25,"tol1","explanatory","cumulative_logit",0.082621276858077,0.625855030628746
"application",-0.634709401776367,0.195879383408901,-1.03898457944658,-0.230434224106153,0.0034830455033134,625,25,"tol2","unadjusted","cumulative_logit",0.0104491365099402,0.530089509007099
"application",-0.48444431506672,0.205772669947447,-0.909138232593615,-0.0597503975398249,0.0270799716248681,625,25,"tol2","background","cumulative_logit",0.0812399148746044,0.616039425496859
"application",-0.560545523179427,0.197740397954507,-0.968661646093486,-0.152429400265367,0.00915758836381724,625,25,"tol2","resources","cumulative_logit",0.0274727650914517,0.570897541043368
"application",-0.517287350590499,0.220450573614219,-0.972274972382959,-0.0622997287980392,0.027540425619359,623,25,"tol2","explanatory","cumulative_logit",0.082621276858077,0.596135463142652
"application",0.395735200644884,0.136404129538005,0.114210913891271,0.677259487398496,0.00783809954596183,625,25,"tol3","unadjusted","cumulative_logit",0.0156761990919237,1.48547591240333
"application",0.0660896047478136,0.157356616377054,-0.258678489455442,0.390857698951069,0.678222555065737,625,25,"tol3","background","cumulative_logit",0.678222555065737,1.06832243964012
"application",0.100021580166425,0.163991972545761,-0.238441216089313,0.438484376422163,0.547648377855641,625,25,"tol3","resources","cumulative_logit",0.547648377855641,1.10519476810533
"application",0.225138093238928,0.180552108006061,-0.147503142773689,0.597779329251545,0.224450982943583,623,25,"tol3","explanatory","cumulative_logit",0.224450982943583,1.25249566543321
"application",-0.00193676683875867,0.176866276155131,-0.36697081979584,0.363097286118322,0.991353492265559,625,25,"tol4","unadjusted","cumulative_logit",0.991353492265559,0.998065107483898
"application",-0.304378175612071,0.151570911562005,-0.617205161969542,0.00844881074540083,0.0560088559618739,625,25,"tol4","background","cumulative_logit",0.112017711923748,0.737581878222395
"application",-0.362802702829127,0.136397367019284,-0.644313032430077,-0.0812923732281767,0.013707718066137,625,25,"tol4","resources","cumulative_logit",0.0274727650914517,0.695723684273672
"application",-0.407464138254615,0.151788980489207,-0.720741196757274,-0.0941870797519558,0.0129612500013745,623,25,"tol4","explanatory","cumulative_logit",0.0518450000054982,0.665335311055722
