"component","variance","cumulative"
1,0.253399171546665,0.253399171546665
2,0.148751173342611,0.402150344889275
3,0.126248651092208,0.528398995981483
4,0.123997155404275,0.652396151385758
5,0.105199694369049,0.757595845754807
6,0.103156877751095,0.860752723505902
7,0.0789016826294364,0.939654406135338
8,0.0603455938646617,1
