"construct","application","ic1","word_mean","report_count","info_count","log_damage","log_loss","benefit","tol1","tol2","tol4"
"CE",1,0,0,0,0,0,0,0,0,0,0
"IC",0,0.887140765672326,0.603148733505833,0,0,0,0,0,0,0,0
"PS",0,0,0,-0.388108751543974,0.958708789161674,0,0,0,0,0,0
"TC",0,0,0,0,0,0.838229076165527,0.96614975970712,0,0,0,0
"IB",0,0,0,0,0,0,0,1,0,0,0
"Tol",0,0,0,0,0,0,0,0,0.789960179918555,0.836707062225093,0.570673747657289
