"test_county","method","n","RMSE","R2"
"Baoxing","mean",160,0.67929083494943,-3.63392125573014e-05
"Baoxing","elastic_net",160,0.631588025096857,0.135485969787695
"Baoxing","random_forest",160,0.638282270199762,0.11706276221281
"Qingchuan","mean",464,0.567213779367031,-5.21195107281436e-05
"Qingchuan","elastic_net",464,0.523797675278207,0.147182266434669
"Qingchuan","random_forest",464,0.538873550855901,0.0973844207302706
