"construct","application","log_damage","log_loss","benefit","ic1","report_count","info_count","tol1","tol2","tol4"
"CE",1,0,0,0,0,0,0,0,0,0
"TC",0,0.335306896392918,0.744081856849381,0,0,0,0,0,0,0
"IB",0,0,0,1,0,0,0,0,0,0
"IC",0,0,0,0,1,0,0,0,0,0
"PS",0,0,0,0,0,1.00591131418596,0.0910715046328794,0,0,0
"Tol",0,0,0,0,0,0,0,0.481571613502616,0.485690736948252,0.373431313645917
