"construct","application","log_damage","log_loss","benefit","ic1","word_mean","report_count","info_count","tol1","tol2","tol4"
"CE",1,0,0,0,0,0,0,0,0,0,0
"TC",0,0.833547471534462,0.968314989302618,0,0,0,0,0,0,0,0
"IB",0,0,0,1,0,0,0,0,0,0,0
"IC",0,0,0,0,0.900806265833564,0.578535736983259,0,0,0,0,0
"PS",0,0,0,0,0,0,0.99596369104365,-0.0203294983048868,0,0,0
"Tol",0,0,0,0,0,0,0,0,0.780544891421699,0.834752445228993,0.585457798401715
