"variable","tol1","tol2","tol3","tol4","ic1","word1","word2","word3","benefit","report_count","info_count","conflict_wb","conflict_all"
"tol1",1,0.332386558445268,0.0741804142724097,0.123391462214091,-0.201871302244365,-0.131590432172184,-0.0215827746437179,-0.08518801840707,0.272161693223304,-0.0877152235095765,0.0200380109100955,-0.192841577976693,-0.290797120276999
"tol2",0.332386558445268,1,-0.0366678154095975,0.298401101225425,-0.261606606456713,-0.128261637054427,-0.0647794014139569,-0.0446152799276154,0.186623120335467,0.0128441292007159,0.000905598946351088,-0.114954194341646,-0.119169059163884
"tol3",0.0741804142724097,-0.0366678154095975,1,-0.059815450184496,-0.109911863243974,-0.0798188815667349,-0.0451599398650736,-0.0783136023751831,-0.0143980019019905,0.117899742728522,-0.198749697549731,-0.138379243956022,0.103949845702981
"tol4",0.123391462214091,0.298401101225425,-0.059815450184496,1,-0.244788182751547,-0.105035502356091,-0.189671384037353,-0.0323599737959024,0.140427986153391,0.147628334914406,-0.0645674191452569,0.0223437692745799,-0.0681521424937641
"ic1",-0.201871302244365,-0.261606606456713,-0.109911863243974,-0.244788182751547,1,0.0828492186847714,0.0617959896730327,0.180835476927004,-0.114589489492994,-0.0413752172709628,0.162682764581696,0.208477736893769,0.196317746279216
"word1",-0.131590432172184,-0.128261637054427,-0.0798188815667349,-0.105035502356091,0.0828492186847714,1,0.0448648170946818,-0.0686037837544962,-0.0989921516907876,-0.0964140914310778,0.0286491404620897,0.0794324780925485,0.0340028478107054
"word2",-0.0215827746437179,-0.0647794014139569,-0.0451599398650736,-0.189671384037353,0.0617959896730327,0.0448648170946818,1,0.0114037270752569,-0.000514336721938519,-0.025431945035098,0.0621526747180228,0.0300516899472358,0.0332884711942518
"word3",-0.08518801840707,-0.0446152799276154,-0.0783136023751831,-0.0323599737959024,0.180835476927004,-0.0686037837544962,0.0114037270752569,1,-0.0263000505054224,0.0182998909433129,0.0312452267393378,0.119234127697381,0.171211642863342
"benefit",0.272161693223304,0.186623120335467,-0.0143980019019905,0.140427986153391,-0.114589489492994,-0.0989921516907876,-0.000514336721938519,-0.0263000505054224,1,-0.118899883529718,0.144886713982751,-0.174027450697823,-0.289153986653824
"report_count",-0.0877152235095765,0.0128441292007159,0.117899742728522,0.147628334914406,-0.0413752172709628,-0.0964140914310778,-0.025431945035098,0.0182998909433129,-0.118899883529718,1,-0.110535669101232,0.0679613870070738,0.216275130647501
"info_count",0.0200380109100955,0.000905598946351088,-0.198749697549731,-0.0645674191452569,0.162682764581696,0.0286491404620897,0.0621526747180228,0.0312452267393378,0.144886713982751,-0.110535669101232,1,0.068446494246021,-0.148648801940571
"conflict_wb",-0.192841577976693,-0.114954194341646,-0.138379243956022,0.0223437692745799,0.208477736893769,0.0794324780925485,0.0300516899472358,0.119234127697381,-0.174027450697823,0.0679613870070738,0.068446494246021,1,0.372076842030083
"conflict_all",-0.290797120276999,-0.119169059163884,0.103949845702981,-0.0681521424937641,0.196317746279216,0.0340028478107054,0.0332884711942518,0.171211642863342,-0.289153986653824,0.216275130647501,-0.148648801940571,0.372076842030083,1
