"item","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"tol1",0.469219150217675,0.139893194588831,0.0492841256941936,0.247078207740841,-0.524399477469918,0.306203951793354,-0.0373085055611266,-0.571523508474562
"tol2",0.539368664364166,-0.189182210821228,0.030218813281486,0.159969965112653,-0.239810593093757,0.119525869006919,0.155262376562986,0.742216955545142
"tol3",0.0472325318852815,0.766467923495667,0.0429569978366747,-0.0490036477768167,-0.145993049393892,-0.410132097813504,0.455861036821421,0.0933689241945016
"tol4",0.390166026856908,-0.462760079634628,-0.0339730591869286,-0.0538002234033381,0.276313660694796,-0.429613027383561,0.505824348682054,-0.33585723647203
"ic1",-0.45691361065876,-0.181585506888919,0.154516021152531,0.0254631133469747,-0.200018980562584,0.461028408414676,0.693598285163112,-0.00998589087991392
"word1",-0.234978046406584,-0.225548625229192,-0.673434760370593,-0.0710041170681558,-0.577585936361333,-0.317669275366236,-0.0162791078743433,0.0239349639825907
"word2",-0.131916417674868,0.0682618362874605,-0.278513306251559,0.908194287424142,0.263122036874744,-0.0446570330083511,0.0653428536903681,0.00739659184019823
"word3",-0.230364322843121,-0.233484173376051,0.662343707479263,0.278494756675873,-0.356351715520781,-0.472992392238515,-0.158810686550021,0.0151565424156467
