"ID","field","original","derived","reason"
180,"word3","0",,"Zero encodes missing descriptive word"
181,"word3","0",,"Zero encodes missing descriptive word"
182,"word3","0",,"Zero encodes missing descriptive word"
184,"word3","0",,"Zero encodes missing descriptive word"
186,"word3","0",,"Zero encodes missing descriptive word"
187,"word3","0",,"Zero encodes missing descriptive word"
191,"word3","0",,"Zero encodes missing descriptive word"
194,"word3","0",,"Zero encodes missing descriptive word"
230,"word3","0",,"Zero encodes missing descriptive word"
232,"word3","0",,"Zero encodes missing descriptive word"
265,"word3","0",,"Zero encodes missing descriptive word"
268,"word3","0",,"Zero encodes missing descriptive word"
270,"word3","0",,"Zero encodes missing descriptive word"
271,"word3","0",,"Zero encodes missing descriptive word"
272,"word3","0",,"Zero encodes missing descriptive word"
273,"word3","0",,"Zero encodes missing descriptive word"
274,"word3","0",,"Zero encodes missing descriptive word"
275,"word3","0",,"Zero encodes missing descriptive word"
338,"word3","0",,"Zero encodes missing descriptive word"
402,"word3","0",,"Zero encodes missing descriptive word"
406,"word3","0",,"Zero encodes missing descriptive word"
465,"word3","0",,"Zero encodes missing descriptive word"
467,"word3","0",,"Zero encodes missing descriptive word"
469,"word3","0",,"Zero encodes missing descriptive word"
470,"word3","0",,"Zero encodes missing descriptive word"
471,"word3","0",,"Zero encodes missing descriptive word"
475,"word3","0",,"Zero encodes missing descriptive word"
476,"word3","0",,"Zero encodes missing descriptive word"
507,"word3","0",,"Zero encodes missing descriptive word"
509,"word3","0",,"Zero encodes missing descriptive word"
513,"word3","0",,"Zero encodes missing descriptive word"
517,"word3","0",,"Zero encodes missing descriptive word"
518,"word3","0",,"Zero encodes missing descriptive word"
519,"word3","0",,"Zero encodes missing descriptive word"
521,"word3","0",,"Zero encodes missing descriptive word"
522,"word3","0",,"Zero encodes missing descriptive word"
524,"word3","0",,"Zero encodes missing descriptive word"
525,"word3","0",,"Zero encodes missing descriptive word"
527,"word3","0",,"Zero encodes missing descriptive word"
528,"word3","0",,"Zero encodes missing descriptive word"
529,"word3","0",,"Zero encodes missing descriptive word"
530,"word3","0",,"Zero encodes missing descriptive word"
533,"word3","0",,"Zero encodes missing descriptive word"
535,"word3","0",,"Zero encodes missing descriptive word"
538,"word3","0",,"Zero encodes missing descriptive word"
561,"word3","0",,"Zero encodes missing descriptive word"
562,"word3","0",,"Zero encodes missing descriptive word"
563,"word3","0",,"Zero encodes missing descriptive word"
564,"word3","0",,"Zero encodes missing descriptive word"
565,"word3","0",,"Zero encodes missing descriptive word"
566,"word3","0",,"Zero encodes missing descriptive word"
567,"word3","0",,"Zero encodes missing descriptive word"
568,"word3","0",,"Zero encodes missing descriptive word"
569,"word3","0",,"Zero encodes missing descriptive word"
578,"word3","0",,"Zero encodes missing descriptive word"
579,"word3","0",,"Zero encodes missing descriptive word"
580,"word3","0",,"Zero encodes missing descriptive word"
581,"word3","0",,"Zero encodes missing descriptive word"
582,"word3","0",,"Zero encodes missing descriptive word"
583,"word3","0",,"Zero encodes missing descriptive word"
584,"word3","0",,"Zero encodes missing descriptive word"
585,"word3","0",,"Zero encodes missing descriptive word"
586,"word3","0",,"Zero encodes missing descriptive word"
587,"word3","0",,"Zero encodes missing descriptive word"
